as_of,spy_open,spy_high,spy_low,spy_close,qqq_open,qqq_high,qqq_low,qqq_close,up_count,down_count,net,up_share,up_down_ratio
2026-02-03,696.21,696.96,684.03,689.53,,,,,21,66,-45,0.2414,0.32
2026-02-04,690.35,691.45,681.76,686.19,,,,,36,100,-64,0.2647,0.36
2026-02-05,680.94,683.69,675.79,677.62,,,,,21,167,-146,0.1117,0.13
2026-02-06,681.46,692.31,680.85,690.62,,,,,54,49,5,0.5243,1.1
2026-02-09,689.42,695.87,688.34,693.95,,,,,52,48,4,0.52,1.08
2026-02-10,694.95,696.54,691.66,692.12,,,,,46,30,16,0.6053,1.53
2026-02-11,696.39,697.14,689.18,691.96,,,,,61,45,16,0.5755,1.36
2026-02-12,694.24,695.35,680.37,681.27,,,,,70,42,28,0.625,1.67
2026-02-13,681.69,686.28,677.52,681.75,,,,,42,58,-16,0.42,0.72
2026-02-17,680.14,684.94,675.78,682.85,,,,,38,47,-9,0.4471,0.81
2026-02-18,684.02,689.15,682.83,686.29,,,,,29,28,1,0.5088,1.04
2026-02-19,683.84,686.18,681.55,684.48,,,,,27,18,9,0.6,1.5
2026-02-20,682.32,690.06,681.73,689.43,,,,,48,15,33,0.7619,3.2
2026-02-23,687.83,690,680.37,682.39,,,,,37,29,8,0.5606,1.28
2026-02-24,681.9,688.35,680,687.35,,,,,56,25,31,0.6914,2.24
2026-02-25,690.18,693.68,690.1,693.15,,,,,66,33,33,0.6667,2.0
2026-02-26,693.28,693.3,684.35,689.3,,,,,60,31,29,0.6593,1.94
2026-02-27,683.09,686.86,681.64,685.99,,,,,65,43,22,0.6019,1.51
2026-03-02,678.7,688.62,678.02,686.38,,,,,109,32,77,0.773,3.41
2026-03-03,675.06,682.61,669.66,680.33,,,,,63,36,27,0.6364,1.75
2026-03-04,681.63,687.09,679.62,685.13,,,,,61,32,29,0.6559,1.91
2026-03-05,682.08,685.53,675.61,681.31,,,,,52,38,14,0.5778,1.37
2026-03-06,673.41,676.11,669.76,672.38,,,,,59,32,27,0.6484,1.84
2026-03-09,666.39,679.92,662.39,678.27,,,,,41,24,17,0.6308,1.71
2026-03-10,677.72,683.36,674.76,677.18,,,,,52,18,34,0.7429,2.89
2026-03-11,677.58,680.08,673.34,676.33,,,,,57,21,36,0.7308,2.71
2026-03-12,671.16,671.65,665.87,666.06,,,,,46,28,18,0.6216,1.64
2026-03-13,669.27,672.34,661.36,662.29,,,,,34,21,13,0.6182,1.62
2026-03-16,668.38,672.07,667.12,669.03,,,,,26,18,8,0.5909,1.44
2026-03-17,672.39,674.44,669.7,670.79,,,,,28,21,7,0.5714,1.33
2026-03-18,668.36,669.72,661.19,661.43,,,,,18,32,-14,0.36,0.56
2026-03-19,656.97,662.98,655.17,659.8,,,,,29,38,-9,0.4328,0.76
2026-03-20,656.51,656.69,644.72,648.57,,,,,25,31,-6,0.4464,0.81
2026-03-23,658.07,662.62,653.94,655.38,,,,,25,20,5,0.5556,1.25
2026-03-24,651.32,657.03,649.88,653.18,,,,,24,28,-4,0.4615,0.86
2026-03-25,658.67,660.89,654.24,656.82,,,,,42,23,19,0.6462,1.83
2026-03-26,652.06,654.85,644.82,645.09,,,,,34,27,7,0.5574,1.26
2026-03-27,642.5,642.66,633.11,634.09,,,,,37,23,14,0.6167,1.61
2026-03-30,640.11,640.37,629.28,631.97,,,,,25,57,-32,0.3049,0.44
2026-03-31,638.94,651.54,637.98,650.34,,,,,32,27,5,0.5424,1.19
2026-04-01,653.9,658.52,653,655.24,,,,,32,25,7,0.5614,1.28
2026-04-02,646.42,658.2,645.11,655.83,,,,,45,12,33,0.7895,3.75
