ticker,close,close_5d_ago,pct_change_5d,volume,min_vol_3d
DFNS,13.1,4.26,207.51,78865711,595787
PN,10.14,4.32,134.72,233031,233031
UTZ,14.08,7.45,88.99,2446932,2446932
ADVB,14.36,8.9,61.35,456906,456906
FBRX,76.5,47.49,61.09,17545448,575893
MF,6.19,4.22,46.68,290212,125905
OTLY,14.3,9.88,44.74,349841,349841
SAFT,103,73.85,39.47,1966094,163709
NVEC,117.38,84.69,38.6,249905,249905
CLF,12.25,8.98,36.41,43367174,43367174
JEM,5.85,4.32,35.42,513357,513357
RNG,53.7,40.74,31.81,5489389,4855455
THC,243.36,194.38,25.2,2218918,1774471
SMCI,29.81,23.83,25.09,35912282,35912282
AGEN,6.13,4.97,23.34,1234481,1234481
EAF,7.79,6.32,23.26,592845,448841
OII,52.17,42.82,21.84,1670994,1670994
IMMR,7.74,6.43,20.3,2929223,342869
