ticker,close,close_5d_ago,pct_change_5d,volume,min_vol_3d
NFE,6.1,12.41,-50.85,965846,965846
KPLT,5.77,9.19,-37.21,428643,183704
TRT,7.26,11.23,-35.35,2877217,212602
XENE,38.06,57.35,-33.64,3113951,2348205
XNDU,5.1,7.66,-33.42,15010323,15010323
SCTX,21.61,32.14,-32.76,526468,526468
EDRY,50.9,71.85,-29.16,162982,162982
CGEM,15.44,21.36,-27.72,2728966,831811
SION,5.23,7.18,-27.16,1252783,1252783
AEHL,8.96,12.29,-27.1,168700,164537
CTEV,23.36,31.73,-26.38,151261,151261
LTGO,17.76,23.93,-25.78,340765,214614
ALKT,14.18,18.76,-24.41,4072217,1202192
BLSM,20.47,26.82,-23.68,263552,219658
GEN,23.07,30.21,-23.63,32114180,10349616
OBX,13.41,17.5,-23.37,426630,426630
APMD,21.63,28.11,-23.05,398391,398391
RSI,19.54,25.25,-22.61,9819503,4623872
BYND,9.19,11.7,-21.45,2741045,770667
EVER,18.06,22.89,-21.1,1264420,1264420
VWAV,5.79,7.31,-20.82,777732,192928
PBLS,32.47,40.88,-20.57,1166153,865553
ATTO,18.17,22.73,-20.06,394196,317688
