ticker,close,close_5d_ago,pct_change_5d,volume,min_vol_3d
TNON,5.93,3.77,57.29,108576296,12719753
AOUT,15.68,10.01,56.64,172718,110973
ACVA,10.41,6.7,55.37,115502856,3905062
PCLA,10.11,6.54,54.59,6039326,471455
FEIM,88.38,59.89,47.56,1554626,178989
KPLT,9.43,6.8,38.68,187618,187618
GTBP,8.61,6.31,36.45,544275,120047
XHLD,12.53,9.23,35.75,3815595,3491674
IRD,6.04,4.6,31.3,4658018,4658018
ODD,18.28,14.13,29.37,3668365,2198419
OBIO,6.12,4.74,29.11,464460,198556
EDRY,67.12,52.05,28.95,220887,147070
SWVL,7.12,5.52,28.89,678420,343516
SEI,67.42,53.17,26.8,3108503,2855508
ASO,55.36,43.68,26.74,3161967,3161967
TTRX,12.69,10.07,26.02,135664,125078
MXL,74.57,59.45,25.43,2641964,2298402
JILL,24.08,19.38,24.25,509784,320926
AEHR,94.69,76.27,24.15,2943059,2943059
COHU,57.08,45.98,24.14,614567,614567
SWKS,88.35,71.5,23.57,11126782,4759399
SMTC,167.24,135.4,23.52,2631081,2129802
SIG,100.26,82.02,22.24,1035038,1035038
BAFN,8.75,7.2,21.53,125462,103025
ANGX,5.45,4.49,21.38,2351134,1433195
BAND,56.87,47.09,20.77,1302414,1198099
SIMO,284.48,235.7,20.7,773161,572397
